Group,Plot,NitrogenTreatment,BareSoil,EarthwormCasings,SoilTemp_C,SoilMoisture_Percent,Barberry,TotalEarthworms_Count,JumpingWorms_Count,NonJumpingWorms_Count,TotalEarthworms_g,Microaggregate_Fraction,Soil_pH,SoilCa_ppm,ProtectedC_Fraction,TotalCarbon_Percent,Macroaggregate_Fraction
KJColeBen,10,TRUE,TRUE,TRUE,21.7,27.9,50,15,0,15,1.2516,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
OSNLON,10,TRUE,TRUE,TRUE,17.7,24.3,50,10,8,2,0.1189,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
OSNLON,10,TRUE,TRUE,TRUE,17.3,23,50,12,7,5,0.2433,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
JuliaJaviElka,11,FALSE,FALSE,FALSE,17.7,25.8,25,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
JeaneBrodieArtie,11,FALSE,TRUE,FALSE,22,32.6,10,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
HannahErinCole,11,FALSE,TRUE,FALSE,21.9,31.2,25,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
EllaRubyAnaSofiaEliza,11,FALSE,FALSE,TRUE,18.6,27.9,25,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
GCACIS,11,FALSE,TRUE,TRUE,19.6,31,25,4,0,4,0.0019,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
JeaneBrodieArtie,11,FALSE,TRUE,TRUE,22,32.6,10,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
JaeunColeIsabella,11,FALSE,TRUE,TRUE,23.3,30.8,25,4,2,2,0.0823,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
LIndaCatherineElsa,12,TRUE,FALSE,FALSE,23,24.2,Greater50,2,0,2,0.0264,0.094391484,5.71,1228.533209,0.830424021,3.571756124,0.80974579
HannahErinCole,12,TRUE,FALSE,FALSE,22.4,29.6,50,1,0,1,0.0378,0.094391484,5.71,1228.533209,0.830424021,3.571756124,0.80974579
HannahErinCole,12,TRUE,TRUE,FALSE,22.4,29.6,50,0,0,0,0,0.094391484,5.71,1228.533209,0.830424021,3.571756124,0.80974579
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,23.3,21.4,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,6.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,6,0,6,0.0504,0.173382575,4.52,782.5633487,NA,7.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,8.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,9.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,10.730515,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,TRUE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,6.730515003,0.686843533
RebeccaEmmaRiku,14,TRUE,FALSE,FALSE,23.7,28.5,50,4,0,4,0.0022,0.087602009,6.70666667,1399.345638,0.884282416,4.91344738,0.83829253
GCACIS,14,TRUE,FALSE,TRUE,19.1,32,25,5,0,5,0.002,0.087602009,6.70666667,1399.345638,0.884282416,4.91344738,0.83829253
EllaRubyAnaSofiaEliza,15,TRUE,FALSE,TRUE,18.8,13.4,10,0,0,0,0,0.151330152,5.48666667,873.639299,0.782065698,3.598845243,0.712538026
RebeccaEmmaRiku,16,FALSE,TRUE,TRUE,21.7,14.8,10,0,0,0,0,0.107210526,6.28666667,610.8910976,0.710997363,3.116685867,0.773504644
EllaRubyAnaSofiaEliza,17,TRUE,FALSE,TRUE,17.9,29.1,25,0,0,0,0,0.107074869,6.48333333,1944.123087,0.843284262,4.848063469,0.772037145
